,cleaned_entity_name,entity_name,lei,isin,LEI
0,Shell PLC,Shell PLC,21380068P1DRHMJ8KU70,BRRDSABDR009,21380068P1DRHMJ8KU70
1,A Finkl  Sons,A Finkl & Sons Co,,,
3,AEP Generating,AEP Generating Co,,,
4,AGL Loy Yang Pty,AGL Loy Yang Pty Ltd,,,5493000FMBSFUZ80YU09
5,AGL SA Generation Pty,AGL SA Generation Pty Ltd,,,
6,APR Energy,APR Energy Ltd,,,5493000GLL7CZRYG3481
7,AVIC IndustryFinance Holdings,AVIC Industry-Finance Holdings Co Ltd,,,
8,AVIC Securities,AVIC Securities Co Ltd,,,
9,Abinski Elektrometallurgicheski Zavod,Abinski Elektrometallurgicheski Zavod LLC,,,
10,Abinski Elektrometallurgicheski Zavod OOO,Abinski Elektrometallurgicheski Zavod OOO,,,
11,Abu Dhabi National for Building Materials  PJSC,Abu Dhabi National for Building Materials Co PJSC,,,
12,Abul Khair,Abul Khair Ltd,,,549300NCYGR1JNBTG263
13,Abul Khair Steel,Abul Khair Steel Ltd,,,549300NCYGR1JNBTG263
14,Aceros de Guatemala SA,Aceros de Guatemala SA,,,
15,Acindar Industria Argentina de Aceros SA,Acindar Industria Argentina de Aceros SA,,,
16,Aco Verde do Brasil SA,Aco Verde do Brasil SA,,,
17,Ag Siderurgica Balboa SA,Ag Siderurgica Balboa SA,,,
18,Agha Steel Industries,Agha Steel Industries Ltd,,,
19,Ahvaz Power Generation Management,Ahvaz Power Generation Management Co,,,
20,Ajaokuta Steel,Ajaokuta Steel Co Ltd,,,
22,Aksu Investment Construction Group,Aksu Investment Construction Group Co Ltd,,,
23,Aksu Korong XingMao Energy,Aksu Korong XingMao Energy Co Ltd,,,
24,Aktien Gesellschaft der Dillinger Huettenwerke Societe Anonyme des Forges et Acieries de Dilling,Aktien Gesellschaft der Dillinger Huettenwerke Societe Anonyme des Forges et Acieries de Dilling,,,
25,Al Atoun Steel Industries,Al Atoun Steel Industries,,,
26,Al Ezz Dekheila Steel  Alexandria SAE,Al Ezz Dekheila Steel Company Alexandria SAE,,,
27,Al Ezz for Flat Steel Industries  SAE,Al Ezz for Flat Steel Industries Company SAE,,,
28,Al Ittefaq Steel Products  CJSC,Al Ittefaq Steel Products Company CJSC,,,
29,Al Kamil Power  SAOG,Al Kamil Power Company SAOG,,,
30,Al Rusail Power  SAOC,Al Rusail Power Company SAOC,,,
31,Al Tuwairqi Holding,Al Tuwairqi Holding Co,,,
32,Alabama River Cellulose,Alabama River Cellulose LLC,,,
33,Alar Tongzhong Stateowned Capital Investment Operation Group,Alar Tongzhong State-owned Capital Investment Operation (Group) Co Ltd,,,
34,Alar Xinxin State Owned Capital Investment and Operation Group,Alar Xinxin State Owned Capital Investment and Operation (Group) Co Ltd,,,
35,Alfa Acciai,Alfa Acciai,,,81560000C9F091D54046
36,Algerian Energy  SpA,Algerian Energy Company SpA,,,
37,Algerian Qatari Steel,Algerian Qatari Steel,,,
38,Algerian Utilities International,Algerian Utilities International Ltd,,,
39,Alliance Steel M Sdn Bhd,Alliance Steel (M) Sdn Bhd,,,
40,Alpa SAS,Alpa SAS,,,
41,Alpha Coal Pty,Alpha Coal Pty Ltd,,,
42,Alpha Metallurgical Resources,Alpha Metallurgical Resources Inc,,,
43,Alton Steel,Alton Steel Inc,,,
44,Altos Hornos de Mexico SAB de CV,Altos Hornos de Mexico SAB de CV,,,
45,Aluminum Branch of Inner Mongolia Baiyinhua Coal Power   of State Power Investment Group,Aluminum Branch of Inner Mongolia Baiyinhua Coal Power Co Ltd of State Power Investment Group,,,
46,Aluminum Corporation of China,Aluminum Corporation of China,,,529900TKZUWQLIQN6T48
48,Alxa Fuquan Coal,Alxa Fuquan Coal Co Ltd,,,
49,American Consolidated Natural Resources,American Consolidated Natural Resources Inc,,,
50,American Metals  Coal International,American Metals & Coal International Inc,,,
51,Amsteel Mills Sdn Bhd,Amsteel Mills Sdn Bhd,,,
52,Amurstal,Amurstal LLC,,,
53,Amurstal OOO,Amurstal' OOO,,,
54,Amurugol JSC,Amurugol JSC,,,
55,An Hui Wenergy,An Hui Wenergy Co Ltd,,,
56,Anda Shunxiang Thermal Power,Anda Shunxiang Thermal Power Co Ltd,,,
57,Andes Mining  Energy SA,Andes Mining & Energy SA,,,
58,Andrade Valladares Engenharia e Construcao Ltda,Andrade Valladares Engenharia e Construcao Ltda,,,
59,Angang Group Xinyang Iron and Steel,"Angang Group Xinyang Iron and Steel Co., Ltd.",,,
60,Angang Lianzhong Stainless Steel,Angang Lianzhong Stainless Steel Corp,,,
61,Angang Steel,Angang Steel Co Ltd,,,
63,Anglo American Inyosi Coal Pty,Anglo American Inyosi Coal Pty Ltd,,,
64,Anhui Bozhou Coal Industry,Anhui Bozhou Coal Industry,,,
65,Anhui Changjiang Steel,Anhui Changjiang Steel Co Ltd,,,
66,Anhui Development Investment,Anhui Development Investment Co Ltd,,,
67,Anhui Electric Power,Anhui Electric Power Co Ltd,,,
68,Anhui Guihang Special Steel,Anhui Guihang Special Steel Co Ltd,,,
69,Anhui Guohua Investment Group,Anhui Guohua Investment Group Co Ltd,,,
70,Anhui HAOYUAN Chemical Group,Anhui HAOYUAN Chemical Group Co Ltd,,,
71,Anhui Haichuang Green Energy Environmental Protection Group,Anhui Haichuang Green Energy Environmental Protection Group Co Ltd,,,
72,Anhui Huadian Luan Power Generation,Anhui Huadian Lu'an Power Generation Co Ltd,,,
73,Anhui Huadian Suzhou Power Generation,Anhui Huadian Suzhou Power Generation Co Ltd,,,
74,Anhui Huadian Wuhu Power,Anhui Huadian Wuhu Power Co Ltd,,,
75,Anhui Huainan Luoneng Power Generation,Anhui Huainan Luoneng Power Generation Co Ltd,,,
76,Anhui Huainan Pingwei Power Generation,Anhui Huainan Pingwei Power Generation Co Ltd,,,
77,Anhui Hwasu,Anhui Hwasu Co Ltd,,,
78,Anhui Jinan Stainless Steel Casting,"Anhui Jin'an Stainless Steel Casting Co., Ltd.",,,
79,Anhui Jinan Stainless Steel Foundry,Anhui Jin'an Stainless Steel Foundry Co Ltd,,,
80,Anhui Jingxian Longxin Iron and Steel,Anhui Jingxian Longxin Iron and Steel Co Ltd,,,
82,Anhui Jinhe Industrial,Anhui Jinhe Industrial Co Ltd,,,
83,Anhui Jinxuan Technology,Anhui Jinxuan Technology Co Ltd,,,
84,Anhui Langxi County Fuhang Steel,Anhui Langxi County Fuhang Steel Co Ltd,,,
85,Anhui Langxi Hongtai Iron and Steel,"Anhui Langxi Hongtai Iron and Steel Co., Ltd.",,,
86,Anhui Liangjiang Holding Group,Anhui Liangjiang Holding Group Co Ltd,,,
87,Anhui Nenghui Green Energy,Anhui Nenghui Green Energy Co Ltd,,,
88,Anhui Nenghui Power Sales,Anhui Nenghui Power Sales Co Ltd,,,
89,Anhui Province Energy Group,Anhui Province Energy Group Co Ltd,,,
90,Anhui Province Investment Group Holding,Anhui Province Investment Group Holding Co Ltd,,,
91,Anhui Qianyingzi Power Generation,Anhui Qianyingzi Power Generation Co Ltd,,,
92,Anhui Shenyuan Coal Chemical,Anhui Shenyuan Coal Chemical Company,,,
93,Anhui Shoukuang Dachang Metal Material,Anhui Shoukuang Dachang Metal Material Co Ltd,,,
95,Anhui Waneng Environmental Protection Power Generation,Anhui Waneng Environmental Protection Power Generation Co Ltd,,,
96,Anhui Wanneng Environmental Technology,Anhui Wanneng Environmental Technology Co Ltd,,,
97,Anhui Xinda Steel Development,Anhui Xinda Steel Development Co Ltd,,,
98,Anhui Xinyuan Thermoelectricity,Anhui Xinyuan Thermoelectricity Co Ltd,,,
99,Anhui Yingyi Thermal Power,Anhui Yingyi Thermal Power Co Ltd,,,
100,Anhui Yongning Investment Holding Group,Anhui Yongning Investment Holding Group Co Ltd,,,
101,Ann Joo Integrated Steel Sdn Bhd,Ann Joo Integrated Steel Sdn Bhd,,,
102,Ann Joo Resources Bhd,Ann Joo Resources Bhd,,,
103,Ann Joo Steel Bhd,Ann Joo Steel Bhd,,,
104,Anping Power Plant of China Coal Xiyang Energy,Anping Power Plant of China Coal Xiyang Energy Co Ltd,,,
105,Anqing Branch of Sinopec Asset Management,Anqing Branch of Sinopec Asset Management Co Ltd,,,
106,Anshan Baode Iron  Steel,Anshan Baode Iron & Steel Co Ltd,,,
108,Anshan Iron  Steel Group,Anshan Iron & Steel Group Corp,,,
109,Anshan Iron and Steel Group,Anshan Iron and Steel Group Co Ltd,,,
111,Anshan Tengao Special Zone DongTeng Economic Development,Anshan Tengao Special Zone DongTeng Economic Development Co,,,
112,Ansteel Group,Ansteel Group Co Ltd,,,
113,Antara Steel Mills Sdn Bhd,Antara Steel Mills Sdn Bhd,,,
114,Anyang Dazhong Coal Industry,Anyang Dazhong Coal Industry Company,,,
115,Anyang Huixin Special Steel,Anyang Huixin Special Steel Co Ltd,,,
117,Anyang Sifang Real Estate Development,Anyang Sifang Real Estate Development Company,,,
118,Anyang Xinpu Steel,Anyang Xinpu Steel Co Ltd,,,
120,Anyuan Iron  Steel,Anyuan Iron & Steel Co Ltd,,,
121,AnzherskayaYuzhnaya Coal,Anzherskaya-Yuzhnaya Coal Co LLC,,,
122,Aoda Electric Power Development,Aoda Electric Power Development Co Ltd,,,
123,Arab Steel,Arab Steel Co,,,
124,Arabian Power  PJSC,Arabian Power Company PJSC,,,
125,Arabian United Power  PJSC,Arabian United Power Company PJSC,,,
126,ArcelorMittal Tubarão Comercial SA,ArcelorMittal Tubarão Comercial SA,,,
127,ArcelorMittal Zenica doo,ArcelorMittal Zenica doo,,,
128,Arcelormittal Tubarao Comercial SA,Arcelormittal Tubarao Comercial SA,,,
129,Arcelormittal Zenica doo Zenica,Arcelormittal Zenica doo Zenica,,,
130,Arhorqin Dingsheng New Energy,Arhorqin Dingsheng New Energy Co Ltd,,,
131,Arkticheskiye Razrabotki,Arkticheskiye Razrabotki LLC,,,
132,Ashinskiy Metzavod PAO,Ashinskiy Metzavod PAO,,,
133,Ashinskiy Metzavod PJSC,Ashinskiy Metzavod PJSC,,,
134,Ashuganj Power Station,Ashuganj Power Station Co Ltd,,,
135,Asia Symbol Shangdong Pulp and Paper,Asia Symbol (Shangdong) Pulp and Paper Co Ltd,,,
136,Asil Celik Sanayi ve Ticaret AS,Asil Celik Sanayi ve Ticaret AS,,,
137,Asil Celik Sanayi ve Ticaret AŞ,Asil Celik Sanayi ve Ticaret AŞ,,,
138,Assam State Electricity Board,Assam State Electricity Board,,,
139,Asset Management Office of Pengjiang District Jiangmen City,"Asset Management Office of Pengjiang District, Jiangmen City",,,
140,Austin Energy,Austin Energy Corp,,,5493000MUFGINL4GDB70
141,Australian Industrial Energy Pty,Australian Industrial Energy Pty Ltd,,,
142,AviChina Industry  Technology,AviChina Industry & Technology Co Ltd,,,5299003TVA3JVDKJGF39
143,Aviation Industry Corporation of China,Aviation Industry Corporation of China,,,
144,Avon Peaking Power RF Pty,Avon Peaking Power (RF) Pty Ltd,,,
145,Avtozavodskaya CHP,Avtozavodskaya CHP LLC,,,
146,Azerbaijan Integrated Steel Mill Complex,Azerbaijan Integrated Steel Mill Complex,,,
147,BANK of Jilin,BANK of Jilin Co Ltd,,,
148,BCEMach,BCE-Mach,,,
149,BERIS Jiangsu Heavy Industry,BERIS Jiangsu Heavy Industry Co Ltd,,,
150,BG Group,BG Group,,XS0094548293,8156004691E0F2602E09
151,BHP Group,BHP Group,,,WZE1WSENV6JSZFK0JC28
152,BHP Mitsubishi Alliance,BHP Mitsubishi Alliance,,,
153,BMZUpravlyayushchaya Kompaniya Kholdinga BMK JSC,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,,,
154,BMZUpravlyayushchaya Kompaniya Kholdinga BMK OAO,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK OAO,,,
155,BP America Production,BP America Production,,,549300B8RMOTK5QZWT61
156,BRIDGE Trust,BRIDGE Trust Co Ltd,,,529900PRL1M55AI5V178
157,Baicheng Fuda Bar Rolling,Baicheng Fuda Bar Rolling Co Ltd,,,
159,Baise Baikuang Power Generation,Baise Baikuang Power Generation Co Ltd,,,
160,Baise New Aluminum Power,Baise New Aluminum Power Co Ltd,,,
161,Baishan State Owned Energy Investment,Baishan State Owned Energy Investment Co Ltd,,,
162,Baishan Thermal Power,Baishan Thermal Power Co Ltd,,,
163,Baishui Yuanmu Real Estate Development,Baishui Yuanmu Real Estate Development Co Ltd,,,
164,Baiyin Nonferrous Group,Baiyin Nonferrous Group Co Ltd,,,
165,Baiyinhua Jinshan Power,Baiyinhua Jinshan Power Co Ltd,,,
166,Bakhtar Regional Electric,Bakhtar Regional Electric Co,,,
167,Baku Steel  MMJ,Baku Steel Company MMJ,,,
168,Baku Steel  QSC,Baku Steel Company QSC,,,
169,Balidor Oil  Gas,Balidor Oil & Gas,,,549300XB6QKP7F0I1N54
170,Bandanna Energy,Bandanna Energy Ltd,,,
171,Bangladesh India Friendship Power  Pvt,Bangladesh India Friendship Power Company Pvt Ltd,,,
172,Bangladesh Power Development Board,Bangladesh Power Development Board,,,
173,Bank of China,Bank of China Ltd,,,254900LPUJ0AL3OPPN30
174,Bank of Communications,Bank of Communications Co Ltd,,,549300W86N4HT5SZO450
175,Bank of Jiangsu,Bank of Jiangsu Co Ltd,,,
176,Bank of Tianjin,Bank of Tianjin Co Ltd,,,
177,Baobab Steel,Baobab Steel Ltd,,,213800AKO19ABR89B925
178,Baode County Shendong Power Generation,Baode County Shendong Power Generation Co Ltd,,,
179,Baoding Guokong Group,Baoding Guokong Group Co Ltd,,,
180,Baoqing County StateOwned Assets Management,Baoqing County State-Owned Assets Management Co Ltd,,,
181,Baoshan Iron and Steel,"Baoshan Iron and Steel Co., Ltd.",,,
182,Baosteel Desheng Stainless Steel,Baosteel Desheng Stainless Steel Co Ltd,,,
184,Baosteel Group Corporation,Baosteel Group Corporation,,,
185,Baosteel Group Guangdong Shaoguan Iron STEEL,Baosteel Group Guangdong Shaoguan Iron &STEEL Co Ltd,,,
186,Baosteel Group Xinjiang Bayi Iron  Steel,"Baosteel Group Xinjiang Bayi Iron & Steel Co., Ltd.",,,
187,Baosteel Special Metals,Baosteel Special Metals Co Ltd,,,
188,Baosteel Special Steel,"Baosteel Special Steel Co., Ltd.",,,
189,Baosteel Zhanjiang Iron  Steel,Baosteel Zhanjiang Iron & Steel Co Ltd,,,
190,Baotou Aluminium,Baotou Aluminium Co Ltd,,,
191,Baotou Baoxin Special Steel,Baotou Baoxin Special Steel Co Ltd,,,
193,Baotou City Shansheng New Energy,Baotou City Shansheng New Energy Co Ltd,,,
194,Baotou DA AN IRONSTEEL,Baotou DA AN IRON&STEEL Co Ltd,,,
195,Baotou Daan Iron and Steel,"Baotou Da'an Iron and Steel Co., Ltd.",,,
196,Baotou Donghua Thermal Power,Baotou Donghua Thermal Power Co Ltd,,,
197,Baotou First Thermal Power Plant of Northern United Power,Baotou First Thermal Power Plant of Northern United Power Co Ltd,,,
198,Baotou Intelligent Gangue Power Generation,Baotou Intelligent Gangue Power Generation Co Ltd,,,
199,Baotou Jiyu Steel,Baotou Jiyu Steel Co Ltd,,,
200,Baotou No2 Thermal Power Plant,Baotou No.2 Thermal Power Plant,,,
201,Baotou Power Generation Branch of Huadian Inner Mongolia Energy,Baotou Power Generation Branch of Huadian Inner Mongolia Energy Co Ltd,,,
202,Baotou Power Generation Branch of Inner Mongolia Energy Power Generation Investment Group,Baotou Power Generation Branch of Inner Mongolia Energy Power Generation Investment Group Co Ltd,,,
203,Baotou Steel Group,Baotou Steel (Group) Co Ltd,,,
204,Baowu Group Echeng Iron  Steel,Baowu Group Echeng Iron & Steel Co Ltd,,,
205,Baowu Group Echeng Iron and Steel,"Baowu Group Echeng Iron and Steel Co., Ltd.",,,
206,Baowu Group Environmental Resources Technology,Baowu Group Environmental Resources Technology Co Ltd,,,
207,Barka Water and Power  SAOG,Barka Water and Power Company SAOG,,,
208,Barkol Kazakh Yinxin Mining Industry Investment,Barkol Kazakh Yinxin Mining Industry Investment Company,,,
209,Barnaul Generation JSC,Barnaul Generation JSC,,,
210,Barzasskoye Tovarishestvo,Barzasskoye Tovarishestvo LLC,,,
211,Bashkir Generation,Bashkir Generation Company LLC,,,
212,Bashundhara Group,Bashundhara Group,,,
214,Bastug Metalurji Sanayi AS,Bastug Metalurji Sanayi AS,,,
215,Bayan Yubao Thermal Power,Bayan Yubao Thermal Power Co Ltd,,,
216,Bayernwerk AG,Bayernwerk AG,,,549300L8KJ9WXDP5XT47
217,Baymina Enerji AŞ,Baymina Enerji AŞ,,,
218,Bazhong Huaneng Energy Development,Bazhong Huaneng Energy Development Co Ltd,,,
219,Bazhou Dongchen Industry and Trade,Bazhou Dongchen Industry and Trade Company,,,
220,Beach Energy,Beach Energy Ltd,,,8Q9PJD25OKTQT5FHUF40
222,Bedrock Production,Bedrock Production,,,549300JT8V7D9LBZHL46
223,Befar Group,Befar Group Co Ltd,,,
224,Beian Jiuzhou Environmental Energy,Bei'an Jiuzhou Environmental Energy Co Ltd,,,
225,Beibu Gulf Port,Beibu Gulf Port Co Ltd,,,
226,Beidahuang Group,Beidahuang Group Co Ltd,,,
227,Beihai Urban Development Investment Group,Beihai Urban Development Investment Group Co Ltd,,,
228,Beijing Anxing Zhonglian Real Estate,Beijing Anxing Zhonglian Real Estate Co Ltd,,,
229,Beijing Baiyun Fengqing Environmental Energy Technology,Beijing Baiyun Fengqing Environmental Energy Technology Co Ltd,,,
230,Beijing Beikong Environmental Protection Engineering Technology,Beijing Beikong Environmental Protection Engineering Technology Co Ltd,,,
231,Beijing Binlong Mining New Technology Development,Beijing Binlong Mining New Technology Development Co Ltd,,,
232,Beijing Boguangda Information Consulting,Beijing Boguangda Information Consulting Co Ltd,,,
233,Beijing Chengtong ICBC Equity Investment Fund LP,Beijing Chengtong ICBC Equity Investment Fund LP,,,
234,Beijing Creative Distribution Automation,Beijing Creative Distribution Automation Co Ltd,,,
235,Beijing Dayue Consulting,Beijing Dayue Consulting Co Ltd,,,
236,Beijing Dayue Information Consulting Center LP,Beijing Dayue Information Consulting Center LP,,,
237,Beijing Dongrunjuxiangshuwu,Beijing Dongrunjuxiangshuwu Co Ltd,,,
238,Beijing Dow Investment Holding,Beijing Dow Investment Holding Co Ltd,,,
239,Beijing Enterprises Group,Beijing Enterprises Group Co Ltd,,,529900TWUN2ALJKWRR11
240,Beijing Environment,Beijing Environment Co Ltd,,,213800G7813Q4L47XQ58
241,Beijing Environmental Sanitation Engineering Group,Beijing Environmental Sanitation Engineering Group Co Ltd,,,
242,Beijing Fangda International Industrial Investment,Beijing Fangda International Industrial Investment Co Ltd,,,
243,Beijing Fenghua Freight Forwarding Service,Beijing Fenghua Freight Forwarding Service Co Ltd,,,
244,Beijing Fuze Energy Investment,Beijing Fuze Energy Investment Co Ltd,,,
245,Beijing Gas Group,Beijing Gas Group Co Ltd,,,
246,Beijing Global Jierui Investment Management,Beijing Global Jierui Investment Management Co Ltd,,,
247,Beijing Guanglong Enterprise Management Consulting Center LP,Beijing Guanglong Enterprise Management Consulting Center LP,,,
248,Beijing Guodian Electric Power   Dalian Development Zone Thermal Power Plant,Beijing Guodian Electric Power Co Ltd Dalian Development Zone Thermal Power Plant,,,
249,Beijing Guodian Power   Saraqi Power Plant,Beijing Guodian Power Co Ltd Saraqi Power Plant,,,
250,Beijing Guodian Power   Shangwan Thermal Power Plant,Beijing Guodian Power Co Ltd Shangwan Thermal Power Plant,,,
251,Beijing Guohong Huaan Energy Investment,Beijing Guohong Huaan Energy Investment Co Ltd,,,
252,Beijing Guoju Investment Holding Group,Beijing Guoju Investment Holding Group Co Ltd,,,
253,Beijing Haohai Yongxing Investment,Beijing Haohai Yongxing Investment Company,,,
254,Beijing Haohe Henglian Trading,Beijing Haohe Henglian Trading Co Ltd,,,
255,Beijing HeXinYuan Investment,Beijing HeXinYuan Investment Company,,,
256,Beijing Hongliheng Consulting,Beijing Hongliheng Consulting Co Ltd,,,
257,Beijing Hongpin Information Consulting Partnership LP,Beijing Hongpin Information Consulting Partnership LP,,,
258,Beijing Hongsheng Jingcheng Enterprise Management,Beijing Hongsheng Jingcheng Enterprise Management Co Ltd,,,
259,Beijing Hongyuan Xianghe Technology,Beijing Hongyuan Xianghe Technology Co Ltd,,,
260,Beijing Huachen Century Investment,Beijing Huachen Century Investment Co Ltd,,,
261,Beijing Huadian Beiran Energy,Beijing Huadian Beiran Energy Co Ltd,,,
262,Beijing Huafei Investment,Beijing Huafei Investment Co Ltd,,,
263,Beijing Huarui Century Energy Investment,Beijing Huarui Century Energy Investment Company,,,
264,Beijing Huawei Investment,Beijing Huawei Investment Co Ltd,,,
265,Beijing Huayuan Jiaxin Investment,Beijing Huayuan Jiaxin Investment Co Ltd,,,
266,Beijing Huifang Tongzhou Information Consulting Service Partnership LP,Beijing Huifang Tongzhou Information Consulting Service Partnership LP,,,
267,Beijing Jiahe Lihua Science  Trade Development,Beijing Jiahe Lihua Science & Trade Development Co Ltd,,,
268,Beijing Jianlong Investment,Beijing Jianlong Investment Co Ltd,,,
269,Beijing Jiatai Hengye Investment,Beijing Jiatai Hengye Investment Co Ltd,,,
270,Beijing Jingfeng Gas Power Generation,Beijing Jingfeng Gas Power Generation Co Ltd,,,
271,Beijing Jingneng Electric Power   Shijingshan Thermal Power Plant,Beijing Jingneng Electric Power Co Ltd Shijingshan Thermal Power Plant,,,
272,Beijing Jingneng Future Gas Thermal Power,Beijing Jingneng Future Gas Thermal Power Co Ltd,,,
273,Beijing Jingneng Gaoantun Gas Thermal Power,Beijing Jingneng Gaoantun Gas Thermal Power Co Ltd,,,
274,Beijing Jingpeng Xiongrui Investment,Beijing Jingpeng Xiongrui Investment Co Ltd,,,
275,Beijing Jingqiao Thermal Power,Beijing Jingqiao Thermal Power Co Ltd,,,
276,Beijing Jingxi Gas Thermal Power,Beijing Jingxi Gas Thermal Power Co Ltd,,,
277,Beijing Jinyinghe Investment Consulting,Beijing Jinyinghe Investment Consulting Co Ltd,,,
278,Beijing Junhuaxing Technology,Beijing Junhuaxing Technology Co Ltd,,,
279,Beijing Kaixin Yuanhang Technology,Beijing Kaixin Yuanhang Technology Co Ltd,,,
280,Beijing Lanjing Shengshi Culture Media,Beijing Lanjing Shengshi Culture Media Co Ltd,,,
281,Beijing Lantian Youneng New Energy Technology,Beijing Lantian Youneng New Energy Technology Co Ltd,,,
282,Beijing Lantian Youneng Technology Development Center LP,Beijing Lantian Youneng Technology Development Center LP,,,
283,Beijing Lianhongbing Investment Management Center LP,Beijing Lianhongbing Investment Management Center LP,,,
284,Beijing Lirui Investment,Beijing Lirui Investment Company,,,
285,Beijing Longfu Huayi Trading,Beijing Longfu Huayi Trading Co Ltd,,,
286,Beijing Longshun Equipment Leasing,Beijing Longshun Equipment Leasing Co Ltd,,,
287,Beijing New Building Materials Public Limited,Beijing New Building Materials Public Limited Co,,,
288,Beijing Qiancheng Jinyu Technology,Beijing Qiancheng Jinyu Technology Co Ltd,,,
289,Beijing Shangzhuang Gas Thermal Power,Beijing Shangzhuang Gas Thermal Power Co Ltd,,,
290,Beijing Shengshi Guotai Technology Development,Beijing Shengshi Guotai Technology Development Co Ltd,,,
291,Beijing Shenhaihong Investment Consultant,Beijing Shenhaihong Investment Consultant Co Ltd,,,
292,Beijing Shenwu Innovation Holding,Beijing Shenwu Innovation Holding Co Ltd,,,
293,Beijing Shilong New Technology Development,Beijing Shilong New Technology Development Co Ltd,,,
294,Beijing Shougang,Beijing Shougang Co Ltd,,,
296,Beijing Stateowned Assets Management,Beijing State-owned Assets Management Co Ltd,,,
297,Beijing Stateowned Capital Management Center,Beijing State-owned Capital Management Center,,,
298,Beijing Taiyanggong Gas Thermal Power,Beijing Taiyanggong Gas Thermal Power Co Ltd,,,
299,Beijing Tiandi Runda Advertising,Beijing Tiandi Runda Advertising Co Ltd,,,
300,Beijing Tiandiyuan Investment Management,Beijing Tiandiyuan Investment Management Co Ltd,,,
301,Beijing Tiantian Technology,Beijing Tiantian Technology Company,,,
302,Beijing To Shiyan Thermal Power,Beijing To Shiyan Thermal Power Co Ltd,,,
303,Beijing Tongmin Investment Management,Beijing Tongmin Investment Management Co Ltd,,,
304,Beijing Ward Financial Investment Holding,Beijing Ward Financial Investment Holding Co Ltd,,,
305,Beijing Wudou Trading,Beijing Wudou Trading Co Ltd,,,
306,Beijing Xihua Investment Management,Beijing Xihua Investment Management Co Ltd,,,
307,Beijing Xinneng Jiahua Technology Development,Beijing Xinneng Jiahua Technology Development Co Ltd,,,
308,Beijing Xuguo Electric Power Technology Development Center LP,Beijing Xuguo Electric Power Technology Development Center LP,,,
309,Beijing Xuneng Development Technology,Beijing Xuneng Development Technology Co Ltd,,,
310,Beijing Yindasi Technology Development,Beijing Yindasi Technology Development Co Ltd,,,
311,Beijing Yujie Mining Industry Investment,Beijing Yujie Mining Industry Investment Co Ltd,,,
312,Beijing Yuxiang Technology Development,Beijing Yuxiang Technology Development Co Ltd,,,
313,Beijing Zhengdong Electronic Power Group,Beijing Zhengdong Electronic Power Group Co Ltd,,,
314,Beijing Zhijin Technology Investment,Beijing Zhijin Technology Investment Co Ltd,,,
315,Beijing Zhizun Business Service,Beijing Zhizun Business Service Co Ltd,,,
316,Beijing Zhongcheng Hongyi Technology,Beijing Zhongcheng Hongyi Technology Co Ltd,,,
317,Beijing Zhonghe Oriental Investment,Beijing Zhonghe Oriental Investment Co Ltd,,,
318,Beijing Zhongkai Chuangwei Investment,Beijing Zhongkai Chuangwei Investment Co Ltd,,,
319,Beijing Zhongshi Weituo Science and Trade,Beijing Zhongshi Weituo Science and Trade Co Ltd,,,
320,Beijing Zhongshunxi Trading,Beijing Zhongshunxi Trading Co Ltd,,,
321,Beijing Znxy EnergyEnvironment,Beijing Znxy Energy&Environment Co Ltd,,,
322,Belmont County Coal Resources,Belmont County Coal Resources Inc,,,
324,Bengang Group,Bengang Group Co Ltd,,,
325,Bengang Steel Plates,Bengang Steel Plates Co Ltd,,,
327,Bengbu Zhongcheng State Owned Capital Investment and Operation,Bengbu Zhongcheng State Owned Capital Investment and Operation Co Ltd,,,
328,Benteler SteelTube GmbH,Benteler Steel/Tube GmbH,,,
329,Benxi Beiying Iron  Steel GROUP,Benxi Beiying Iron & Steel (GROUP) Co Ltd,,,
330,Benxi Thermal Power Branch of Northeast Electric Power   of State Power Investment Group,Benxi Thermal Power Branch of Northeast Electric Power Co Ltd of State Power Investment Group,,,
331,BenxiBeiying Iron  Steel Group,"Benxi-Beiying Iron & Steel (Group) Co., Ltd.",,,
332,Berezovsky Razrez,Berezovsky Razrez LLC,,,
333,Berkshire Hathaway Energy,Berkshire Hathaway Energy Company,,,
334,Beshay Steel,Beshay Steel,,,
335,Best Coal,Best Coal Inc,,,
337,Bihar Mega Power,Bihar Mega Power Ltd,,,
338,Bijie Anfang Construction Investment Group,Bijie Anfang Construction Investment Group,,,
339,Bijie Zhongcheng Energy,Bijie Zhongcheng Energy Co Ltd,,,
341,Bilozirska Mine,Bilozirska Mine LLC,,,
342,Bin Xian Coal,Bin Xian Coal Co Ltd,,,
343,Binzhou Gongjian Investment Development,Binzhou Gongjian Investment Development Co Ltd,,,
344,Binzhou Green Energy Thermal Power,Binzhou Green Energy Thermal Power Co Ltd,,,
345,Binzhou Hanchuang Technology Development Partnership LP,Binzhou Hanchuang Technology Development Partnership LP,,,
346,Binzhou Heyi Industrial Investment Partnership LP,Binzhou Heyi Industrial Investment Partnership LP,,,
347,Binzhou HongNuo New Material,Binzhou HongNuo New Material Co Ltd,,,
348,Binzhou Jiahong Industrial Investment Partnership LP,Binzhou Jiahong Industrial Investment Partnership LP,,,
349,Binzhou LvTong Thermal Power,Binzhou LvTong Thermal Power Co Ltd,,,
