,cleaned_entity_name,entity_name,lei,isin,LEI
9812,Stateowned Assets Supervision and Administration Commission of Zhengzhou Municipal Peoples Government,State-owned Assets Supervision and Administration Commission of Zhengzhou Municipal People's Government,,,
9813,Stateowned Assets Supervision and Administration Commission of Zhongshan Municipal Peoples Government,State-owned Assets Supervision and Administration Commission of Zhongshan Municipal People's Government,,,
9814,Stateowned Assets Supervision and Administration Commission of Zhuzhou Municipal Peoples Government,State-owned Assets Supervision and Administration Commission of Zhuzhou Municipal People's Government,,,
9815,Stateowned Assets Supervision and Administration Office of Kunshan Municipal Government,State-owned Assets Supervision and Administration Office of Kunshan Municipal Government,,,
9816,Stateowned Assets Supervision and Administration Office of Taicang Municipal Government,State-owned Assets Supervision and Administration Office of Taicang Municipal Government,,,
9817,Stateowned collective Assets Management Office of Wujin District,"""State-owned (collective) Assets Management Office of Wujin District",,,
9818,Stateowned collective Assets Supervision and Administration Office of Gusu District Peoples Government,"""State-owned (collective) Assets Supervision and Administration Office of Gusu District People's Government",,,
9819,Stellar Tube  Pipe Group,Stellar Tube & Pipe Group,,,
9820,Strata Multiventures,Strata Multiventures,,,
9821,Sual Partners,Sual Partners,,,
9822,Suburban Peoples Government of Yangquan City,Suburban People's Government of Yangquan City,,,
9823,Sugar Factory In Ningming County,"""Sugar Factory In Ningming County",,,
9824,Suibin Shengyun Thermal Power,Suibin Shengyun Thermal Power,,,
9825,Suining Changqing Biomass Energy,Suining Changqing Biomass Energy,,,
9826,Suixi Pufa Biomass Power Generation,Suixi Pufa Biomass Power Generation,,,
9827,Suixian Tianhao New Energy Thermal Power,Suixian Tianhao New Energy Thermal Power,,,
9828,Sujin Energy Holding,Sujin Energy Holding,,,
9829,Sumiseki Materials,Sumiseki Materials,,,
9830,Sundiro Holding,Sundiro Holding,,,
9831,Sunit Left Banner Finance Bureau,Sunit Left Banner Finance Bureau,,,
9832,Sunshine Kaidi New Energy Group,Sunshine Kaidi New Energy Group,,,
9833,Sunshine State Power,Sunshine State Power,,,
9834,Surinam Airways,Surinam Airways,,,
9835,Suyuan Group Jiangsu Optical Fibre Cable Power Station,Suyuan Group Jiangsu Optical Fibre Cable Power Station,,,
9836,Suzhou Ascend PULPPAPER,Suzhou Ascend PULP&PAPER,,,
9837,Suzhou Caohu Industrial Development Group,Suzhou Caohu Industrial Development Group,,,
9838,Suzhou Cultural Tourism Development Group,Suzhou Cultural Tourism Development Group,,,
9839,Suzhou Energy Development Group,Suzhou Energy Development Group,,,
9840,Suzhou Gas Group,Suzhou Gas Group,,,
9841,Suzhou Haohai International Trade,Suzhou Haohai International Trade,,,
9842,Suzhou Highgear Information Technology Group,Suzhou High-gear Information Technology Group Company.Ltd,,,
9843,Suzhou Hongrong Investment,Suzhou Hongrong Investment,,,
9844,Suzhou Industrial Park Management Committee,Suzhou Industrial Park Management Committee,,,
9845,Suzhou Industrial Park Xinlan Clean Energy Technology,Suzhou Industrial Park Xinlan Clean Energy Technology,,,
9846,Suzhou Industrial Park Zhongxin Energy Development,Suzhou Industrial Park Zhongxin Energy Development,,,
9847,Suzhou Municipal Bureau of Finance,Suzhou Municipal Bureau of Finance,,,
9848,Suzhou Municipal Environmental Sanitation Regeneration Resource Development Util Ization C,Suzhou Municipal Environmental Sanitation Regeneration Resource Development Util Ization C,,,
9849,Suzhou Municipal Peoples Government Stateowned Assets Supervision and Administration Commission,Suzhou Municipal People's Government State-owned Assets Supervision and Administration Commission,,,
9850,Suzhou Rongyichang Enterprise Management,Suzhou Rongyichang Enterprise Management,,,
9851,Suzhou Suxin SPECIAL Steel,Suzhou Suxin SPECIAL Steel,,,
9852,Suzhou Suzhen Thermal Power,Suzhou Suzhen Thermal Power,,,
9853,Suzhou Trust,Suzhou Trust,,,
9854,Suzhou Wujiang Everbright Environmental Energy Limited,Suzhou Wujiang Everbright Environmental Energy Limited,,,
9855,Suzhou Yinji Information Technology,Suzhou Yinji Information Technology,,,
9856,Suzhou Zhongyifeng Rongju Enterprise Management Partnership,Suzhou Zhongyifeng Rongju Enterprise Management Partnership,,,
9857,Swallow Associates,Swallow Associates,,,
9858,Synfuels China Engineering,Synfuels China Engineering,,,
9859,Synfuels China Technology,Synfuels China Technology,,,
9860,Syrian Arab Airlines,Syrian Arab Airlines,,,
9861,Taian City Development Investment,Tai'an City Development Investment,,,
9862,Taian Civic Construction State Owned Capital Business,Tai'an Civic Construction State Owned Capital Business,,,
9863,Taian Finance Bureau,Tai'an Finance Bureau,,,
9864,Taian Municipal Public Industry Development Group,Taian Municipal Public Industry Development Group,,,
9865,Taian Taishan District Heating Power,Taian Taishan District Heating Power,,,
9866,Taian Taishan Investment,Tai'an Taishan Investment,,,
9867,Taicang Chengtou Energy Construction Investment,Taicang Chengtou Energy Construction Investment,,,
9868,Taicang Chengtou Environmental Protection Construction Investment,Taicang Chengtou Environmental Protection Construction Investment,,,
9869,Taicang City Construction Investment Group,Taicang City Construction Investment Group,,,
9870,Taicang GCL Waste Incineration Power Generation,Taicang GCL Waste Incineration Power Generation,,,
9871,Taicang High Tech Investment Management,Taicang High Tech Investment Management,,,
9872,Taicang Loucheng Asset Investment Management,Taicang Loucheng Asset Investment Management,,,
9873,Taicang State Owned Capital Investment Holding,Taicang State Owned Capital Investment Holding,,,
9874,Taicang Taipeng Holding Group,Taicang Taipeng Holding Group,,,
9875,Taiguo Group Biomass Energy Yushu,Taiguo Group Biomass Energy Yushu,,,
9876,Taihang Holdings,Taihang Holdings,,,
9877,Taiheiyo Cement Philippines,Taiheiyo Cement Philippines,,,
9878,Taikang Insurance Group,Taikang Insurance Group,,,
9879,Taikang Life Insurance,Taikang Life Insurance,,,
9880,Tailai Guokai Hainan Industrial,Tailai Guokai (Hainan) Industrial,,,
9881,Tailai Jiuzhou Xingtai Biomass Thermal Power,Tailai Jiuzhou Xingtai Biomass Thermal Power,,,
